,Additional Columns,Data Type,Description,Precision,Storable Range,Time To Live
UnitId =  Input.UnitId,UnitId,Id<Unit>,"(primary key; if not used, SerialNumber and UnitType are required) The ID of the vehicle.",,,
DriverId =  Input.DriverId,DriverId,Id<Driver>,(optional) The ID of the driver assigned to the vehicle.,,,
Time =  Input.Time,Time,Timestamp,(primary key) The time when the GPS device captured the point.,,,
Tag =  Input.Tag,Tag,Text,(read-only) The name of the vehicle that generated the point.,,,
Vin =  Input.Vin,Vin,Text,The vehicle identification number of the vehicle that generated the point. Maximum of 17 characters,,,
Lat =  Input.Lat,Lat,Angle,"(required) The latitude where the point was generated, in decimal degrees.",,,
Lon =  Input.Lon,Lon,Angle,"(required) The longitude where the point was generated, in decimal degrees.",,,
Address =  Input.Address,Address,Text,(read-only) The address where the point was generated.,,,
GpsQuality =  Input.GpsQuality,GpsQuality,Text,"(optional) The GPS quality of the point when it was generated. Values: Off, NoFix, Unreliable, Excellent.",,,
Heading =  Input.Heading,Heading,Angle,"(optional) The direction the vehicle was moving when the point was generated, in degrees (0 is North, 90 is East).",,,
SerialNumber =  Input.SerialNumber,SerialNumber,Text,(required if UnitId is not used) The serial number of the vehicle that generated the point.,,,
EventIndex =  Input.EventIndex,EventIndex,Number,"(write-only, optional) Telogis use only.",,,
EventCode =  Input.EventCode,EventCode,Number,"(write-only, optional) Telogis use only.",,,
FirmwareVersion =  Input.FirmwareVersion,FirmwareVersion,Text,"(write-only, optional) The version of the firmware installed on the vehicle when the point was generated.",,,
Hdop =  Input.Hdop,Hdop,Number,"(write-only, optional) The horizontal dilution of precision, which indicates GPS quality; the lower the value, the more reliable the GPS signal.",,,
Vdop =  Input.Vdop,Vdop,Number,"(write-only, optional) The vertical dilution of precision for the point.",,,
Pdop =  Input.Pdop,Pdop,Number,"(write-only, optional) The positional (3D) dilution of precision for the point.",,,
NumSatellites =  Input.NumSatellites,NumSatellites,Number,"(write-only, optional) The number of satellites received, which indicates GPS quality; the higher the number, the more precise the reading. Minimum: 3 satellites.",,,
UnitType =  Input.UnitType,UnitType,Text,(required if SerialNumber is used) The type of unit installed in the vehicle that generated the point.,,,
OdometerDelta =  Input.OdometerDelta,OdometerDelta,Distance,"The odometer delta, rounded to the nearest hectometer, for the distance covered since the last point was generated.",,,
EngineTimeDelta =  Input.EngineTimeDelta,EngineTimeDelta,TimeInterval,"The engine time delta, rounded to the nearest minute, for the engine's running time since the last point was generated.",,,
,,,,,,
AbsEvent =  Input.AbsEvent,AbsEvent,BoolType,Instantaneous value for ABS Event. (Automatic Braking System) True if detected.,,true or false,22 minutes
AbsIndicator =  Input.AbsIndicator,AbsIndicator,BoolType,Instantaneous value for ABS Active Lamp. Anti-Lock Braking System (ABS) indicator. Normal value is false.,,true or false,none
AcceleratorPosition =  Input.AcceleratorPosition,AcceleratorPosition,Number,Instantaneous value for Accelerator Pedal Position. The ratio of the actual position of the accelerator pedal (or throttle lever) to its maximum position. The beginning position (not engaged) starts at 0%.,1%,0 to 255 %,none
AccelViolationsCount =  Input.AccelViolationsCount,AccelViolationsCount,Number,Trip value for Acceleration Violations. Counts the number of acceleration violations on the trip.,count,"-32,768 to 32,767",none
AdaptiveCruiseEngaged =  Input.AdaptiveCruiseEngaged,AdaptiveCruiseEngaged,BoolType,Instantaneous value for Adaptive Cruise Engaged. True if Adaptive Cruise Control is engaged.,,true or false,none
AirbagDeployed =  Input.AirbagDeployed,AirbagDeployed,BoolType,Instantaneous value for Airbag Deployed. True if the airbag is deployed. Remains true until the module is reset by the airbag supplier.,,true or false,3 days
AirbagLight =  Input.AirbagLight,AirbagLight,BoolType,Instantaneous value for Airbag Light. True if the Airbag indicator is lighted.,,true or false,3 days
AirBrakeEngaged =  Input.AirBrakeEngaged,AirBrakeEngaged,BoolType,Instantaneous value for Air Brake Engaged. True if the Air Brake is engaged.,,true or false,none
Altitude =  Input.Altitude,Altitude,Distance,Instantaneous value for Altitude. Altitude of the vehicle referenced to sea level at standard atmospheric pressure and temperature.,0.01 m,"-21,474,836.48 to 21,474,836.47 m",none
